Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
ALTW.AMESWIND,Gennode,LMP,45,51.47,51.26,42.55,39.73,48.42,23.58,75.45,28.5,16.87,13.99,24.87,29.83,23.45,14.69,15.73,25.46,30.1,32.36,6.18,5.48,5.35,-0.3,-6.88
ALTW.ARMST.ARR,Hub,LMP,45.13,50.63,50.16,36.99,33.85,39.8,10.55,38.55,20.3,10.92,8.93,17.8,18.18,13.18,10.79,9.67,19.31,15.7,16.93,-1.38,-0.89,0.39,-11.55,-10.45
ALTW.AZ,Hub,LMP,47.73,55.77,55.1,49.89,49.77,79.17,48.27,133.06,41.94,37.48,29.25,41.31,36.44,31.47,23.36,24.78,31.34,45.64,39.72,31.65,26.15,22.53,13.48,5.44
ALTW.BART1NIPS,Gennode,LMP,45.35,53.21,53.06,49.1,55.81,108.88,115.99,389.16,22.39,17.03,13.76,24.65,19.24,17.47,14.63,14.36,19.07,34.82,28.98,11.37,8.76,6.66,0.06,-3.44
ALTW.BART1WPPI,Gennode,LMP,45.35,53.21,53.06,49.1,55.81,108.88,115.99,389.16,22.39,17.03,13.76,24.65,19.24,17.47,14.63,14.36,19.07,34.82,28.98,11.37,8.76,6.66,0.06,-3.44
ALTW.BARTON2,Gennode,LMP,45.35,53.21,53.06,49.1,55.81,108.88,115.99,389.16,22.39,17.03,13.76,24.65,19.24,17.47,14.63,14.36,19.07,34.81,28.97,11.37,8.75,6.66,0.06,-3.44
ALTW.BENT_TREE,Gennode,LMP,45.08,51.17,50.78,40.02,41.25,67.29,31.8,90.89,18.37,12.77,10.89,19.38,16.51,15,14.11,-2.77,-4.44,-3,-0.36,-0.89,-1.65,-2.77,-3.13,-4.7
ALTW.BEPM.CBLD,Loadzone,LMP,45.98,52.5,52.15,42.64,46.14,84.2,29.77,68.71,25.53,17.87,14.14,24.32,23.07,19,14.54,13.74,20.21,27.5,26.24,9.53,7.42,6.1,-2.05,-4.76
ALTW.BRLGTN1,Gennode,LMP,50.26,59.17,58.22,54.17,51.14,83.17,73.01,194.38,64.46,98.46,70.08,80.99,49.13,49.75,52.87,42.98,47.11,74.01,57.78,66.11,59.35,49.79,37.39,27.01
ALTW.BRLGTN2,Gennode,LMP,50.26,59.17,58.22,54.17,51.14,83.17,73.01,194.38,64.46,98.46,70.08,80.99,49.13,49.75,52.87,42.98,47.11,74.01,57.78,66.11,59.35,49.79,37.39,27.01
ALTW.BRLGTN3,Gennode,LMP,50.26,59.17,58.22,54.17,51.14,83.17,73.01,194.38,64.46,98.46,70.08,80.99,49.13,49.75,52.87,42.98,47.11,74.01,57.78,66.11,59.35,49.79,37.39,27.01
ALTW.BRLGTN4,Gennode,LMP,50.26,59.17,58.22,54.17,51.14,83.17,73.01,194.38,64.46,98.46,70.08,80.99,49.13,49.75,52.87,42.98,47.11,74.01,57.78,66.11,59.35,49.79,37.39,27.01
ALTW.BRLGTN5,Gennode,LMP,50.21,59.11,58.16,54.11,51.08,83.09,72.92,194.2,64.39,99.3,70.63,81.49,49.03,49.8,53.42,42.88,47.07,73.85,57.76,66.14,59.35,49.74,37.31,26.94
ALTW.BROOKE1,Gennode,LMP,44.63,50.57,50.08,35.56,29.14,21,4.78,35.32,18.14,8.45,5.87,9.51,1.95,-3.23,2.97,8.23,19.31,10.67,11.27,-6.67,-5.59,-3.57,-17.94,-13.38
ALTW.BVR.ARR,Hub,LMP,48.37,57.07,56.06,52.3,52.13,94.06,72.98,182.68,62.45,67.15,51.45,63.72,48.14,45.77,39.08,42.43,38.05,69.24,44.94,49.13,47.74,42.06,35.35,25.11
ALTW.CC.EMERY1,Gennode,LMP,44.89,50.95,51.08,41.56,54.7,130.09,28.65,28.76,22.82,15.89,12.98,22.52,21.29,18.16,14.57,11.62,16.41,25.06,24.63,8.49,6.37,4.7,-0.64,-4.33
ALTW.CC.EMERY2,Gennode,LMP,44.89,50.95,51.08,41.56,54.7,130.09,28.65,28.76,22.82,15.89,12.98,22.52,21.29,18.16,14.57,11.62,16.41,25.06,24.63,8.49,6.37,4.7,-0.64,-4.33
ALTW.CC.MGS1,Gennode,LMP,43.89,51.49,51.47,48.4,48.68,71.3,38.4,102.29,33.65,22.17,18.25,30.71,32.98,26.82,16.72,19.27,28.45,36.71,35.9,13.77,12.24,11.25,4.67,-3.08
ALTW.CC.MGS2,Gennode,LMP,43.9,51.49,51.48,48.5,48.76,71.49,38.49,102.51,33.68,22.21,18.27,30.77,33.03,26.85,16.72,19.27,28.45,36.71,35.9,13.77,12.24,11.25,4.67,-3.08
ALTW.CERROG1,Gennode,LMP,44.98,51.03,50.93,40.78,51.73,118.1,25.89,28.83,21.8,14.35,11.81,21.4,21.08,17.62,13.83,10.93,16.36,23.72,24.32,6.24,4.39,2.99,-2.23,-5.76
ALTW.CMMPA.MTL,Loadzone,LMP,45.58,48.5,48.01,28.79,22.14,11.87,3.83,42.47,15.51,7.97,8.5,15.38,17.53,14.59,14.04,10.53,16.87,13.95,24.21,3.2,0.8,0.05,-4.94,-7.48
ALTW.CMMPA.SPR,Loadzone,LMP,46.44,49.04,47.98,27.82,21.9,13.72,5.32,47.65,16.99,10.05,10.31,17.25,18.74,15.85,15.56,12.31,18.74,16.72,26.92,7,3.54,2.41,-3,-6
ALTW.CMMPA.WIN,Loadzone,LMP,44.71,47.82,47.55,28.46,21.55,9.42,2.46,39.91,15.14,7.27,7.91,14.87,17.57,14.55,13.59,10.16,17.13,13.85,24.17,1.74,-0.23,-0.81,-5.75,-8.51
ALTW.CRLK2WPL,Gennode,LMP,44.9,50.98,50.86,42,51.74,113.5,16.79,-8.39,21.04,14.63,12.02,21.31,19.29,16.77,14.04,10.26,14.03,23.49,21.98,7,5.24,3.62,-1.48,-4.71
ALTW.CRLK3CWL2,Gennode,LMP,44.9,50.98,50.86,42,51.74,113.5,16.79,-8.39,21.04,14.63,12.02,21.31,19.29,16.77,14.04,10.26,14.03,23.49,21.98,7,5.24,3.62,-1.48,-4.71
ALTW.CRLK3CWLD,Gennode,LMP,44.9,50.98,50.86,42,51.74,113.5,16.79,-8.39,21.04,14.63,12.02,21.31,19.29,16.77,14.04,10.26,14.03,23.49,21.98,7,5.24,3.62,-1.48,-4.71
ALTW.CRYLAKE1,Gennode,LMP,44.9,50.98,50.86,42,51.74,113.5,16.79,-8.39,21.04,14.63,12.02,21.31,19.29,16.77,14.04,10.26,14.03,23.49,21.98,7,5.24,3.62,-1.48,-4.71
ALTW.CRYLAKE2,Gennode,LMP,44.9,50.98,50.86,42,51.74,113.5,16.79,-8.39,21.04,14.63,12.02,21.31,19.29,16.77,14.04,10.26,14.03,23.49,21.98,7,5.24,3.62,-1.48,-4.71
ALTW.CRYSTAL3,Gennode,LMP,44.9,50.98,50.86,42,51.74,113.5,16.79,-8.39,21.04,14.63,12.02,21.31,19.29,16.77,14.04,10.26,14.03,23.49,21.98,7,5.24,3.62,-1.48,-4.71
ALTW.DAEC,Gennode,LMP,47.66,56.06,55.48,51.53,53.55,92.8,55.22,145.52,44.65,37.91,28.61,41.19,38.64,33.4,23.01,28.48,34.09,52.81,43.43,32.95,29.74,26.66,17.7,7.66
ALTW.DR.AURLD,Gennode,LMP,45.24,51.62,51.37,42.11,45.48,79.23,27.93,70.97,28.02,16.74,14.04,24.89,29.59,23.35,15.05,15.5,25.25,29.4,32.21,5.58,4.87,4.85,-0.71,-7.25
ALTW.DRUN.ESR1,Gennode,LMP,48.02,56.5,55.86,51.88,53.36,91.07,55.78,148.62,46.05,38.99,29.23,41.96,39.68,34.2,23.17,29.22,34.91,53.98,44.39,34.91,31.36,28,18.82,8.55
ALTW.ELKWIND,Gennode,LMP,46.48,54.98,54.61,51.35,53.44,94.5,58.91,154.68,43.74,39.12,28.41,41.07,33.52,28.82,20.68,22.21,22.94,42.69,33.85,25.71,19.93,15.7,10.83,4
ALTW.EMERY31,Gennode,LMP,44.89,50.95,51.08,41.56,54.7,130.09,28.65,28.76,22.82,15.89,12.98,22.52,21.29,18.16,14.57,11.62,16.41,25.06,24.63,8.49,6.37,4.7,-0.64,-4.33
ALTW.EMERY32,Gennode,LMP,44.89,50.95,51.08,41.56,54.7,130.09,28.65,28.76,22.82,15.89,12.98,22.52,21.29,18.16,14.57,11.62,16.41,25.06,24.63,8.49,6.37,4.7,-0.64,-4.33
ALTW.EMERY_1,Gennode,LMP,44.89,50.95,51.08,41.56,54.7,130.09,28.65,28.76,22.82,15.89,12.98,22.52,21.29,18.16,14.57,11.62,16.41,25.06,24.63,8.49,6.37,4.7,-0.64,-4.33
ALTW.EMERY_2,Gennode,LMP,44.89,50.95,51.08,41.56,54.7,130.09,28.65,28.76,22.82,15.89,12.98,22.52,21.29,18.16,14.57,11.62,16.41,25.06,24.63,8.49,6.37,4.7,-0.64,-4.33
ALTW.ENDV,Gennode,LMP,43.49,48.94,49.03,34.43,27.98,20.23,3.34,30.25,16.9,7.11,5.69,13.43,13.68,8.42,7.73,7.17,17.34,9.27,10.22,-8.5,-6.81,-4.63,-18.55,-14.52
ALTW.ENGLFARMS,Gennode,LMP,47.03,55.37,54.74,50.68,47.67,63.25,44.69,132.86,42.77,26.18,20.27,33.66,39.34,30.94,15.09,23.98,33.45,44.87,41.53,28.38,24.14,21.28,12.16,2.32
ALTW.FAIR1.ARR,Hub,LMP,48.94,57.65,56.68,52.78,51.99,90.62,61.81,171.57,61.45,68.29,51.29,63.79,47.46,43.88,39.23,42.71,42.02,72.41,48.81,53.03,52.15,45.67,35.54,25.75
ALTW.FAIR2.ARR,Hub,LMP,48.94,57.65,56.68,52.78,51.99,90.62,61.81,171.57,61.45,68.29,51.29,63.79,47.46,43.88,39.23,42.71,42.02,72.41,48.81,53.03,52.15,45.67,35.54,25.75
ALTW.FAIRMONT1,Gennode,LMP,45.6,49.57,49.54,32.05,26.16,19.36,8.65,52.66,17.81,10.15,9.9,17.2,18.42,15.74,14.81,10.21,16.35,13.96,23.3,5.09,2.46,1.49,-3.16,-6.26
ALTW.FAIR_DSL,Gennode,LMP,45.66,49.63,49.6,32.1,26.21,19.45,8.73,52.87,17.89,10.23,9.97,17.28,18.47,15.8,14.85,10.26,16.41,14.05,23.4,5.21,2.55,1.57,-3.1,-6.21
ALTW.FAIR_SIG,Gennode,LMP,45.66,49.63,49.6,32.1,26.21,19.45,8.73,52.87,17.89,10.23,9.97,17.28,18.47,15.8,14.85,10.26,16.41,14.05,23.4,5.21,2.55,1.57,-3.1,-6.21
ALTW.FCLDFCL1,Gennode,LMP,44.55,50.06,49.79,35.41,29.28,22.53,4.91,34.25,18.18,8.49,6.89,15.04,15.32,10.02,8.86,8.15,18.44,11.04,12.43,-5.98,-4.94,-3.02,-16.71,-13.27
ALTW.FPL_DAEC,Gennode,LMP,47.66,56.06,55.48,51.53,53.55,92.8,55.22,145.52,44.65,37.91,28.61,41.19,38.64,33.4,23.01,28.48,34.09,52.81,43.43,32.95,29.74,26.66,17.7,7.66
ALTW.FRBRN.WND,Gennode,LMP,45.05,51.68,51.42,42.36,46.72,86.57,35.09,84.93,19.21,14.56,11.45,20.4,16.79,15.35,14.11,-3.16,-5.58,-1.9,-1.44,-0.67,-1.24,-2.6,-2.7,-4.3
ALTW.FRNKLNCO,Gennode,LMP,45.16,51.49,51.46,42.72,93.37,318.72,72.58,63.2,24.59,16.3,13.08,22.98,23.33,19.19,14.05,12.91,19.33,28.07,28.06,8.11,6.09,4.62,-1.07,-5.07
ALTW.FXLK3.ARR,Hub,LMP,44.54,48.16,48.12,30.16,23.62,12.96,5.03,45.06,16.4,8.41,8.61,15.81,17.98,15.12,14.06,10.06,16.79,13.63,23.58,2.79,0.66,-0.03,-4.75,-7.58
ALTW.GOLDENPLN,Gennode,LMP,44.76,49.33,49.26,34.48,24.89,4.28,4.27,40.72,19.15,10.88,10.04,18.36,19.92,16.56,13.99,11.02,17.81,18.26,24.95,4.28,2.23,1.31,-3.8,-7.07
ALTW.GPFWIND,Gennode,LMP,45.77,52.09,51.54,41,31.26,11.45,12.47,65.26,27.56,15.56,13.39,24.58,30.24,23.41,14.72,14.58,26.04,22.47,21.88,2.29,1.48,2.1,-9.79,-10.09
ALTW.GRCT.ARR,Hub,LMP,46.55,54.71,54.24,50.21,47.08,58.56,36.53,109.43,37.47,18.64,16.03,29.77,37.08,28.38,13.16,19.5,31.44,32.89,29.82,17.41,13.76,13.09,5.55,-3.21
ALTW.HAHN.ARR,Hub,LMP,47.7,56.03,55.54,51.63,54.83,99.17,58.34,152.48,37.35,32.64,24.27,36.18,29.7,26.3,19.65,22.59,25.58,47.46,39.05,29.86,22.37,17.66,11.76,5.37
ALTW.HANCOC1,Gennode,LMP,45.11,51.05,50.8,40.05,48.89,106.63,23.21,28.95,20.77,12.72,10.58,20.18,20.76,16.99,13.03,10.17,16.26,22.39,23.95,3.91,2.32,1.19,-3.88,-7.24
ALTW.HANCO_CF,Gennode,LMP,45.11,51.05,50.8,40.05,48.89,106.63,23.21,28.95,20.77,12.72,10.58,20.18,20.76,16.99,13.03,10.17,16.26,22.39,23.95,3.91,2.32,1.19,-3.88,-7.24
ALTW.HANCO_PE,Gennode,LMP,45.11,51.05,50.8,40.05,48.89,106.63,23.21,28.95,20.77,12.72,10.58,20.18,20.76,16.99,13.03,10.17,16.26,22.39,23.95,3.91,2.32,1.19,-3.88,-7.24
ALTW.HAWKEYE1,Gennode,LMP,46.11,54.16,54.6,51.1,53.91,100.62,59.23,154.68,31.48,24.18,17.7,28.86,22.01,19.78,15.45,18.32,20.63,42.2,33.13,22.06,17.98,14.23,5.59,1.36
ALTW.HCPD.STHP,Loadzone,LMP,45.13,51.34,51.14,41.42,82.55,268.52,61.79,62.39,24.13,14.05,11.32,21.66,24.36,19.2,12.68,12.13,20.28,27.23,30.8,6.25,6.03,5.97,0.5,-6.04
